cust_id,cust_nm,email_addr,phone_no,addr,City,ST,ZIP,ord_dt,prod_nm,prod_cat,qty,unit_price,total_amt
1,Michael Smith,michaelsmith181@yahoo.com,+13112156938,6051 Main St,San Diego,CA,77609,08-01-2026,Yoga Mat,Sports,3,29.99,89.97
2,Jane Miller,janemiller920@yahoo.com,,2478 Park St,San Antonio,TX,52059,2025-10-20,Blender,Kitchen,3,49.99,149.97
3,William Garcia,williamgarcia559@outlook.com,554-917-1253,1725 Elm St,Los Angeles,CA,80630,2025-04-09,Yoga Mat,Sports,4,29.99,119.96
4,Emily Jones,emilyjones424@yahoo.com,9092084821,1103 Oak St,San Diego,CA,86245,TBD,Headphones,Electronics,1,149.99,149.99
5,David Jones,davidjones697@yahoo.com,(413) 583-2544,6948 Oak St,New York,NY,32832,2026-03-01T20:11:58,Smartphone,Electronics,5,699.99,3499.95
6,John Garcia,johngarcia537@yahoo.com,+12563187214,8307 Main St,New York,NY,46208,2024-13-45,Running Shoes,Sports,3,129.99,389.97
7,Lisa Williams,lisawilliams70@gmail.com,351-728-3527,7856 Oak St,San Diego,CA,10683,07/17/2025,Laptop,Electronics,5,999.99,4999.95
8,Michael Brown,michaelbrown184@outlook.com,5914221370,327 Park St,San Antonio,TX,64655,2026-03-16T20:11:58,Coffee Maker,Kitchen,3,79.99,239.97
9,David Jones,davidjones408@outlook.com,+15491073621,5968 Oak St,Chicago,IL,62820,12/12/2025,Headphones,Electronics,1,149.99,149.99
10,Emily Jones,emilyjones371@outlook.com,+19019048159,1019 Oak St,Chicago,IL,32213,2025-05-21T20:11:58,Yoga Mat,Sports,5,-100,149.95
11,Jennifer Smith,@gmail.com,+18895146127,4018 Park St,Philadelphia,PA,40997,01/22/2026,Keyboard,Electronics,5,89.99,449.95
12,David Garcia,davidgarcia681@gmail.com,566-311-2045,5634 Main St,Phoenix,AZ,93669,2025-07-25,Smartphone,Electronics,3,699.99,2099.97
13,John Jones,johnjones@,+12524289978,4541 Main St,,AZ,58889,01/08/2026,Headphones,Electronics,4,149.99,599.96
14,David Smith,davidsmith309@gmail.com,+19172274832,965 Elm St,San Diego,CA,67383,02/18/2026,Desk Chair,Furniture,many,249.99,249.99
15,Jane Brown,janebrowngmail.com,+13384188958,6371 Oak St,Philadelphia,PA,49064,21-02-2026,Desk Chair,Furniture,5,249.99,1249.95
16,Robert Davis,robertdavis883@gmail.com,+14538841077,1172 Elm St,San Diego,CA,95290,2026-03-28,Headphones,Electronics,5,149.99,749.95
17,Emily Garcia,emilygarcia828@yahoo.com,251-222-5215,7371 Elm St,San Antonio,TX,64171,2025-05-12T20:11:58,Keyboard,Electronics,2,89.99,179.98
18,Emily Miller,emilymiller562@gmail.com,+17799585692,645 Main St,Phoenix,AZ,46013,2025-08-06,Desk Chair,Furniture,1,249.99,249.99
19,Michael Garcia,michaelgarcia177@yahoo.com,+18135638556,9890 Oak St,San Antonio,TX,60348,2025-06-01,Running Shoes,Sports,1,129.99,129.99
20,William Johnson,williamjohnson126@yahoo.com,3778915273,5395 Oak St,New York,NY,67284,02/02/2026,Keyboard,Electronics,2,89.99,179.98
21,Sarah Miller,sarahmiller42@email.com,call-me,8408 Park St,Houston,TX,18145,11/30/2025,Headphones,Electronics,4,149.99,599.96
22,John Johnson,johnjohnson513@email.com,(881) 605-4464,6553 Oak St,Chicago,IL,19530,,Monitor,Electronics,3,399.99,1199.97
23,Jane Jones,janejones636@email.com,430-511-4508,3348 Elm St,Houston,TX,64337,11/21/2025,Blender,Kitchen,2,49.99,99.98
24,Emily Rodriguez,emilyrodriguez88@outlook.com,853-412-7333,3104 Park St,Los Angeles,CA,89003,2025-07-13,Headphones,Electronics,1,149.99,149.99
25,William Garcia,williamgarcia404@email.com,+18794644378,3354 Elm St,San Diego,CA,61790,2026-02-22T20:11:58,Smartphone,Electronics,4,699.99,2799.96
26,John Miller,johnmiller694@gmail.com,8414541295,7487 Park St,Los Angeles,CA,22881,09/15/2025,Keyboard,Electronics,1,89.99,89.99
27,John Brown,johnbrown329@outlook.com,(824) 426-3897,4515 Elm St,Los Angeles,CA,65921,2025-09-10,Desk Chair,Furniture,2,249.99,499.98
